id	title	dealership_name	dealership_address	link	price	condition	make	brand	model	year	mileage	color	fuel	availability	google_product_category	vehicle_fulfillment(option)	image_link	additional_image_link
97853	2014 VOLKSWAGEN CADDY MAXI AIR CON	Atlantic Campers Limited	UNION ROAD GARAGE, UNION ROAD WEST, ABERGAVENNY, NP77RL	https://campers4sale.co.uk/advert/2014-volkswagen-caddy-maxi-air-con	11995 GBP	used	Volkswagen	Volkswagen	Caddy	2014	93000 miles	White	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782556038/2022/j1zdc1crmvel3xmexsbz.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782556037/2022/xmdfxl1sqcott1atgx2n.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556036/2022/pl751astteu67xixmvz5.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556033/2022/dohcpkjepvgyw9j8khql.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556036/2022/kmivwefhxyxu8v80mb7o.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556039/2022/o9vyzxqeoglhieiqvwzg.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556039/2022/fi7jspr2wlo49jdmawdj.jpg
97852	2020 FORD TRANSIT CUSTOM LIMITED	Atlantic Campers Limited	UNION ROAD GARAGE, UNION ROAD WEST, ABERGAVENNY, NP77RL	https://campers4sale.co.uk/advert/2020-ford-transit-custom-limited	29995 GBP	used	Ford	Ford	Transit Custom	2020	59000 miles	Black	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782556317/2022/ry9hog2mrdjjt7pzim7j.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782556320/2022/vna5npy98q3kngfnafaf.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556321/2022/anyowtymr5inobznevjj.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556324/2022/iubhsrtmtwmjoinadfud.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556327/2022/j7m30zbphlmbke5csfwd.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556327/2022/j4u4uzbc9sorf9jhzk7a.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556330/2022/medhkbr2tntmv3yn7dev.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556332/2022/al0oslanbbz1a5tvagjh.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556337/2022/zw2ooaizmf2nbfdyca8d.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782556339/2022/hwaz4oikvv5fbofpndn4.jpg
97849	2020 Vantage Sol Gold	4 Front Motorhomes	4 Front Motorhomes West Sussex, Nursery Ln, Warninglid, Haywards Heath. RH17 5JS	https://campers4sale.co.uk/advert/2020-vantage-sol-gold	54000 GBP	used	Vantage	Vantage	Vantage Sol Gold	2020	22935 miles	Gold	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782551565/2390/iwqpczejddh8pumjlwe8.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782551567/2390/g7mp4y0uvyguvbulxu4z.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782551569/2390/d32nnrq82dddihmd9x6p.jpg
97848	2024 POP TOP PETROL CITREON BERLINGO 4,000 MILES !!!	JCT Cars	Brampton Villa, Pennyhill Lane, Brampton-On-Le-Morthen, , South Yorkshire, S66 9BQ	https://campers4sale.co.uk/advert/2024-pop-top-petrol-citreon-berlingo-4000-miles-	29995 GBP	used	Citroen	Citroen	Berlingo	2024	4000 miles	Grey	Petrol	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782562603/2022/ldi8rnelqa56pthaxfy5.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782562607/2022/degx3dv6rbl5omuo3tgt.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562606/2022/botf9yt7wcfqyt3w6ach.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562602/2022/irkwzq9tyh1gwyrlnahm.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562602/2022/kwazslzeofj1fqwnxqcu.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562610/2022/wxfjvfjm8iye9oovu6te.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562605/2022/ykk7c0pdgwcq3c8cxm3t.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562608/2022/rm55xlzr4pyr4v1k6amq.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562613/2022/fwdairjn3bjccypazrcn.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782562609/2022/sta0cap9ih6vy0cj8a5y.jpg
97846	2022 Volkswagen Transporter T28 Grey	Complete Campers Southwest Ltd	Westfield Business Park, Long Road, Paignton, UK	https://campers4sale.co.uk/advert/2022-volkswagen-transporter-t28-grey-1782546323	47995 GBP	used	Volkswagen	Volkswagen	Transporter	2022	25871 miles	Grey	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782546324/5576/rwlih6amdkf5jsdwnafa.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782546326/5576/moohadtisrq3ddu1xpio.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546328/5576/gpc8ckblh4bliqsc4nbi.png,https://res.cloudinary.com/webxmedia/image/upload/v1782546329/5576/wxgewuj6e7kdljxxdicg.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546331/5576/sy7meg2l6xshwra351pq.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546332/5576/pazpi6oxbx9hlmia5w0e.png,https://res.cloudinary.com/webxmedia/image/upload/v1782546334/5576/g8iwlk3f36qzdmzv3lfk.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546336/5576/aczas4uiri7kwjwicnwb.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546337/5576/o5gseoxmri8gsaokqsng.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546339/5576/jeemgw522sxyvzku96cg.jpg
97845	2022 Volkswagen Transporter T28 Silver	Complete Campers Southwest Ltd	Westfield Business Park, Long Road, Paignton, UK	https://campers4sale.co.uk/advert/2022-volkswagen-transporter-t28-silver	47995 GBP	used	Volkswagen	Volkswagen	Transporter	2022	18424 miles	Silver	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782546269/5576/vyrajyv8ag2say6pgry6.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782546270/5576/hie771d5tfxkjhsfnvk7.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546272/5576/x0dlgzpuw1sprqfhav28.png,https://res.cloudinary.com/webxmedia/image/upload/v1782546274/5576/panflnzxbjxxogorkaaj.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546276/5576/y3zxhnawzptpcv5z4qgz.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546277/5576/tfymdztmjbbkv23cmbe7.png,https://res.cloudinary.com/webxmedia/image/upload/v1782546280/5576/mrmmcismerrcbmfdyg4m.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546282/5576/hn0ot6pqpezvgjy557r2.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546283/5576/csmkml7s741wkv7wmhjy.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546285/5576/gppcvuepult1kmdng6y8.jpg
97844	2019 Volkswagen Transporter T30 Grey	Complete Campers Southwest Ltd	Westfield Business Park, Long Road, Paignton, UK	https://campers4sale.co.uk/advert/2019-volkswagen-transporter-t30-grey-1782546267	38995 GBP	used	Volkswagen	Volkswagen	Transporter	2019	80793 miles	Grey	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782546268/5576/knwvozivbmf3v3lmonuv.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782546270/5576/kazidog90nzp0mq0mw30.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546272/5576/cojx5xgnihu53qfyqjwa.png,https://res.cloudinary.com/webxmedia/image/upload/v1782546274/5576/vjjkgznpvlxs5gyo6osx.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546275/5576/eq4zs0egfuoc7wgvcf1p.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546277/5576/euldli8rgfhoq95z6cw7.png,https://res.cloudinary.com/webxmedia/image/upload/v1782546278/5576/gvs4anffrteqvifvlbln.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546280/5576/z9fsjiqmdgrdxtndgnvf.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546281/5576/tgay2bpxw4ewfkmcwdnp.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782546283/5576/ndi8uxmtslmqiw5ii9os.jpg
97841	2016 S & L Motorhomes Apollo Grey	Wellsbridge Motorhomes	Wells Bridge, Ramsey Forty Foot, Huntingdon, Cambs, PE26 2XJ	https://campers4sale.co.uk/advert/2016-s--l-motorhomes-apollo-grey	38995 GBP	used	S & L Motorhomes	S & L Motorhomes	S & L Motorhomes	2016	29072 miles	Grey	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782545839/3655/abztcjn2g9wtfkcnjojp.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782545840/3655/vlpisaprqjmwhxjfgel3.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545841/3655/gwqos05nc7gnqwhpufjo.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545843/3655/zcj7g16ryuxbjkv7qlsh.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545844/3655/fwtgal8ebvj2v08fxghm.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545846/3655/najnpihv2u1mnflt2px0.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545847/3655/f0bmdzcvogqqvt22aytw.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545848/3655/g57manmm50bnphlkp12d.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545850/3655/u7cynobwgvm3znzmfgfp.jpg,https://res.cloudinary.com/webxmedia/image/upload/v1782545851/3655/suecuxpuyfqdosos8dqm.jpg
97840	2008 Auto Sleeper Mezan White	Wellsbridge Motorhomes	Wells Bridge, Ramsey Forty Foot, Huntingdon, Cambs, PE26 2XJ	https://campers4sale.co.uk/advert/2008-auto-sleeper-mezan-white-1782545834	22995 GBP	used	Auto-Sleeper	Auto-Sleeper	Mezan	2008	0 miles	White	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782545835/3655/z3jxenlw9wnxkmli0qfm.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782545837/3655/pyiotefjgl9c6kmtac1o.jpg
97839	2008 Auto Sleeper Suffolk White	Wellsbridge Motorhomes	Wells Bridge, Ramsey Forty Foot, Huntingdon, Cambs, PE26 2XJ	https://campers4sale.co.uk/advert/2008-auto-sleeper-suffolk-white	34995 GBP	used	Auto-Sleeper	Auto-Sleeper	Suffolk	2008	14522 miles	White	Diesel	in_stock	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	online	https://res.cloudinary.com/webxmedia/image/upload/v1782545832/3655/cm10oc6mepiskhqeifoq.jpg	https://res.cloudinary.com/webxmedia/image/upload/v1782545834/3655/gm4c693ochlbbv6dqy3n.jpg
